COUNTY,RISK_RATNG
Archuleta,Very Low
Baca,Very Low
Bent,Very Low
Boulder,Relatively Moderate
Broomfield,Relatively Low
Chaffee,Very Low
Cheyenne,Very Low
Clear Creek,Very Low
Conejos,Very Low
Costilla,Very Low
Crowley,Very Low
Custer,Very Low
Delta,Very Low
Denver,Relatively Moderate
Dolores,Very Low
Douglas,Relatively Low
Eagle,Very Low
Elbert,Very Low
El Paso,Relatively Moderate
Fremont,Very Low
Garfield,Relatively Low
Gilpin,Very Low
Grand,Very Low
Gunnison,Very Low
Hinsdale,Very Low
Huerfano,Very Low
Jackson,Very Low
Jefferson,Relatively Moderate
Kiowa,Very Low
Kit Carson,Relatively Low
Lake,Very Low
La Plata,Relatively Low
Larimer,Relatively Moderate
Las Animas,Very Low
Lincoln,Very Low
Logan,Relatively Low
Mesa,Very Low
Mineral,Very Low
Moffat,Very Low
Montezuma,Very Low
Montrose,Very Low
Morgan,Relatively Low
Otero,Very Low
Ouray,Very Low
Park,Very Low
Phillips,Very Low
Pitkin,Very Low
Prowers,Very Low
Pueblo,Relatively Low
Rio Blanco,Very Low
Rio Grande,Very Low
Routt,Very Low
Saguache,Very Low
San Juan,Very Low
San Miguel,Very Low
Sedgwick,Very Low
Summit,Very Low
Teller,Relatively Low
Washington,Very Low
Weld,Relatively Moderate
Yuma,Relatively Low
Fairfield,Relatively High
Hartford,Relatively Moderate
Litchfield,Relatively Low
Middlesex,Relatively Low
New Haven,Relatively Moderate
New London,Relatively Moderate
Tolland,Relatively Low
Windham,Relatively Low
Kent,Relatively Moderate
New Castle,Relatively Moderate
Sussex,Relatively Moderate
District of Columbia,Relatively Moderate
Alachua,Relatively Moderate
Baker,Very Low
Bay,Relatively High
Bradford,Relatively Low
Brevard,Relatively High
Broward,Very High
Calhoun,Relatively Low
Charlotte,Relatively High
Citrus,Relatively High
Clay,Relatively Moderate
Collier,Relatively High
Columbia,Relatively Moderate
DeSoto,Relatively Moderate
Dixie,Relatively Low
Duval,Relatively High
Escambia,Relatively High
Flagler,Relatively Moderate
Franklin,Relatively Low
Gadsden,Relatively Low
Gilchrist,Relatively Low
Glades,Relatively Low
Gulf,Relatively Low
Hamilton,Relatively Low
Hardee,Relatively Low
Hendry,Relatively Moderate
Hernando,Relatively High
Highlands,Relatively Moderate
Hillsborough,Very High
Holmes,Relatively Moderate
Indian River,Relatively High
Jackson,Relatively Moderate
Jefferson,Relatively Low
Lafayette,Relatively Low
Lake,Relatively Moderate
Lee,Relatively High
Leon,Relatively Moderate
Levy,Relatively Moderate
Liberty,Very Low
Madison,Relatively Low
Manatee,Relatively High
Marion,Relatively High
Martin,Relatively High
Miami-Dade,Very High
Monroe,Relatively High
Nassau,Relatively Moderate
Okaloosa,Relatively High
Okeechobee,Relatively Moderate
Orange,Relatively High
Osceola,Relatively Moderate
Palm Beach,Very High
Pasco,Relatively High
Pinellas,Relatively High
Polk,Relatively High
Putnam,Relatively Moderate
St. Johns,Relatively Moderate
St. Lucie,Relatively High
Santa Rosa,Relatively High
Sarasota,Relatively High
Seminole,Relatively High
Sumter,Relatively Moderate
Suwannee,Relatively Low
Taylor,Relatively Low
Union,Very Low
Volusia,Relatively High
Wakulla,Relatively Low
Walton,Relatively Moderate
Washington,Relatively Moderate
Appling,Relatively Low
Atkinson,Very Low
Bacon,Relatively Low
Baker,Very Low
Baldwin,Very Low
Banks,Very Low
Barrow,Relatively Low
Bartow,Relatively Low
Ben Hill,Very Low
Berrien,Relatively Low
Bibb,Relatively Low
Bleckley,Very Low
Brantley,Relatively Low
Brooks,Relatively Low
Bryan,Relatively Moderate
Bulloch,Relatively Moderate
Burke,Relatively Low
Butts,Very Low
Calhoun,Very Low
Camden,Relatively Moderate
Candler,Very Low
Carroll,Relatively Low
Catoosa,Relatively Low
Charlton,Relatively Low
Chatham,Relatively High
Chattahoochee,Very Low
Chattooga,Relatively Low
Cherokee,Relatively Low
Clarke,Relatively Low
Clay,Very Low
Clayton,Relatively Moderate
Clinch,Very Low
Cobb,Relatively Moderate
Coffee,Relatively Low
Colquitt,Relatively Low
Columbia,Relatively Low
Cook,Relatively Low
Coweta,Relatively Low
Crawford,Very Low
Crisp,Relatively Low
Dade,Very Low
Dawson,Very Low
Decatur,Relatively Low
DeKalb,Relatively Moderate
Dodge,Very Low
Dooly,Very Low
Dougherty,Relatively Low
Douglas,Relatively Low
Early,Relatively Low
Echols,Very Low
Effingham,Relatively Low
Elbert,Very Low
Emanuel,Relatively Low
Evans,Relatively Low
Fannin,Very Low
Fayette,Relatively Low
Floyd,Relatively Low
Forsyth,Relatively Low
Franklin,Very Low
Fulton,Relatively Moderate
Gilmer,Relatively Low
Glascock,Very Low
Glynn,Relatively Moderate
Gordon,Relatively Low
Grady,Relatively Low
Greene,Very Low
Gwinnett,Relatively Moderate
Habersham,Very Low
Hall,Relatively Low
Hancock,Very Low
Haralson,Very Low
Harris,Very Low
Hart,Very Low
Heard,Very Low
Henry,Relatively Low
Houston,Relatively Low
Irwin,Very Low
Jackson,Relatively Low
Jasper,Very Low
Jeff Davis,Very Low
Jefferson,Very Low
Jenkins,Very Low
Johnson,Very Low
Jones,Very Low
Lamar,Very Low
Lanier,Very Low
Laurens,Relatively Low
Lee,Very Low
Liberty,Relatively Moderate
Lincoln,Very Low
Long,Relatively Low
Lowndes,Relatively Low
Lumpkin,Very Low
McDuffie,Very Low
McIntosh,Relatively Low
Macon,Very Low
Madison,Very Low
Marion,Very Low
Meriwether,Very Low
Miller,Very Low
Mitchell,Relatively Low
Monroe,Very Low
Montgomery,Very Low
Morgan,Very Low
Murray,Relatively Low
Muscogee,Relatively Low
Newton,Relatively Low
Oconee,Very Low
Oglethorpe,Very Low
Paulding,Relatively Low
Peach,Very Low
Pickens,Very Low
Pierce,Relatively Low
Pike,Very Low
Polk,Relatively Low
Pulaski,Very Low
Putnam,Very Low
Quitman,Very Low
Rabun,Very Low
Randolph,Very Low
Richmond,Relatively Moderate
Rockdale,Relatively Low
Schley,Very Low
Screven,Relatively Low
Seminole,Relatively Low
Spalding,Very Low
Stephens,Very Low
Stewart,Very Low
Sumter,Relatively Low
Talbot,Very Low
Taliaferro,Very Low
Tattnall,Relatively Moderate
Taylor,Very Low
Telfair,Very Low
Terrell,Very Low
Thomas,Relatively Moderate
Tift,Relatively Low
Toombs,Relatively Low
Towns,Very Low
Treutlen,Very Low
Troup,Relatively Low
Turner,Very Low
Twiggs,Very Low
Union,Very Low
Upson,Very Low
Walker,Relatively Low
Walton,Relatively Low
Ware,Relatively Low
Warren,Very Low
Washington,Very Low
Wayne,Relatively Low
Webster,Very Low
Wheeler,Very Low
White,Very Low
Whitfield,Relatively Low
Wilcox,Very Low
Wilkes,Very Low
Wilkinson,Very Low
Worth,Relatively Low
Hawaii,Relatively High
Honolulu,Relatively Moderate
Kalawao,Very Low
Kauai,Relatively Low
Maui,Relatively Moderate
Ada,Relatively Moderate
Adams,Relatively Low
Bannock,Relatively Low
Bear Lake,Very Low
Benewah,Very Low
Bingham,Relatively Low
Blaine,Very Low
Boise,Relatively Low
Bonner,Very Low
Bonneville,Relatively Low
Boundary,Very Low
Butte,Very Low
Camas,Very Low
Canyon,Relatively Low
Caribou,Very Low
Cassia,Relatively Low
Clark,Very Low
Clearwater,Very Low
Custer,Very Low
Elmore,Relatively Low
Franklin,Very Low
Fremont,Very Low
Gem,Relatively Low
Gooding,Very Low
Idaho,Relatively Low
Jefferson,Very Low
Jerome,Very Low
Kootenai,Relatively Low
Latah,Very Low
Lemhi,Very Low
Lewis,Very Low
Lincoln,Very Low
Madison,Very Low
Minidoka,Very Low
Nez Perce,Very Low
Oneida,Very Low
Owyhee,Very Low
Payette,Very Low
Power,Very Low
Shoshone,Very Low
Teton,Very Low
Twin Falls,Relatively Low
Valley,Relatively Low
Washington,Very Low
Adams,Relatively Low
Alexander,Relatively Low
Bond,Very Low
Boone,Relatively Low
Brown,Very Low
Bureau,Relatively Low
Calhoun,Very Low
Carroll,Very Low
Cass,Very Low
Champaign,Relatively Moderate
Christian,Relatively Low
Clark,Very Low
Clay,Very Low
Clinton,Relatively Low
Coles,Relatively Low
Cook,Very High
Crawford,Relatively Low
Cumberland,Very Low
DeKalb,Relatively Low
De Witt,Very Low
Douglas,Very Low
DuPage,Relatively Moderate
Edgar,Very Low
Edwards,Very Low
Effingham,Relatively Low
Fayette,Very Low
Ford,Very Low
Franklin,Relatively Low
Fulton,Relatively Low
Gallatin,Very Low
Greene,Very Low
Grundy,Relatively Low
Hamilton,Relatively Low
Hancock,Very Low
Hardin,Very Low
Henderson,Very Low
Henry,Relatively Low
Iroquois,Very Low
Jackson,Relatively Moderate
Jasper,Very Low
Jefferson,Relatively Low
Jersey,Very Low
Jo Daviess,Very Low
Johnson,Relatively Low
Kane,Relatively Moderate
Kankakee,Relatively Low
Kendall,Relatively Low
Knox,Relatively Low
Lake,Relatively Moderate
LaSalle,Relatively Low
Lawrence,Very Low
Lee,Relatively Low
Livingston,Very Low
Logan,Relatively Low
McDonough,Very Low
McHenry,Relatively Moderate
McLean,Relatively Low
Macon,Relatively Low
Macoupin,Relatively Low
Madison,Relatively Moderate
Marion,Relatively Low
Marshall,Very Low
Mason,Very Low
Massac,Relatively Low
Menard,Very Low
Mercer,Very Low
Monroe,Relatively Low
Montgomery,Relatively Low
Morgan,Relatively Low
Moultrie,Very Low
Ogle,Relatively Low
Peoria,Relatively Moderate
Perry,Relatively Low
Piatt,Very Low
Pike,Very Low
Pope,Very Low
Pulaski,Very Low
Putnam,Very Low
Randolph,Relatively Low
Richland,Very Low
Rock Island,Relatively Low
St. Clair,Relatively Moderate
Saline,Relatively Low
Sangamon,Relatively Moderate
Schuyler,Very Low
Scott,Very Low
Shelby,Very Low
Stark,Very Low
Stephenson,Relatively Low
Tazewell,Relatively Low
Union,Relatively Low
Vermilion,Relatively Low
Wabash,Very Low
Warren,Very Low
Washington,Very Low
Wayne,Very Low
White,Relatively Low
Whiteside,Relatively Low
Will,Relatively Moderate
Williamson,Relatively Moderate
Winnebago,Relatively Moderate
Woodford,Relatively Low
Adams,Very Low
Allen,Relatively Moderate
Bartholomew,Relatively Low
Benton,Very Low
Blackford,Very Low
Boone,Very Low
Brown,Very Low
Carroll,Very Low
Cass,Very Low
Clark,Relatively Low
Clay,Very Low
Clinton,Very Low
Crawford,Very Low
Daviess,Relatively Low
Dearborn,Very Low
Decatur,Very Low
DeKalb,Very Low
Delaware,Relatively Low
Dubois,Relatively Low
Elkhart,Relatively Low
Fayette,Very Low
Floyd,Relatively Low
Fountain,Very Low
Franklin,Very Low
Fulton,Very Low
Gibson,Relatively Low
Grant,Relatively Low
Greene,Relatively Low
Hamilton,Relatively Moderate
Hancock,Relatively Low
Harrison,Relatively Low
Hendricks,Relatively Low
Henry,Relatively Low
Howard,Relatively Low
Huntington,Very Low
Jackson,Relatively Low
Jasper,Very Low
Jay,Very Low
Jefferson,Relatively Low
Jennings,Very Low
Johnson,Relatively Low
Knox,Relatively Low
Kosciusko,Relatively Low
LaGrange,Relatively Low
Lake,Relatively Moderate
LaPorte,Relatively Low
Lawrence,Relatively Low
Madison,Relatively Low
Marion,Relatively Moderate
Marshall,Very Low
Martin,Very Low
Miami,Very Low
Monroe,Relatively Low
Montgomery,Relatively Low
Morgan,Relatively Low
Newton,Very Low
Noble,Relatively Low
Ohio,Very Low
Orange,Very Low
Owen,Very Low
Parke,Very Low
Perry,Very Low
Pike,Very Low
Porter,Relatively Low
Posey,Relatively Low
Pulaski,Very Low
Putnam,Very Low
Randolph,Very Low
Ripley,Relatively Low
Rush,Very Low
St. Joseph,Relatively Low
Scott,Very Low
Shelby,Relatively Low
Spencer,Very Low
Starke,Very Low
Steuben,Very Low
Sullivan,Very Low
Switzerland,Very Low
Tippecanoe,Relatively Low
Tipton,Very Low
Union,Very Low
Vanderburgh,Relatively Moderate
Vermillion,Very Low
Vigo,Relatively Low
Wabash,Very Low
Warren,Very Low
Warrick,Relatively Low
Washington,Relatively Low
Wayne,Relatively Low
Wells,Very Low
White,Very Low
Whitley,Very Low
Adair,Very Low
Adams,Very Low
Allamakee,Very Low
Appanoose,Very Low
Audubon,Very Low
Benton,Relatively Low
Black Hawk,Relatively Low
Boone,Very Low
Bremer,Very Low
Buchanan,Very Low
Buena Vista,Relatively Low
Butler,Very Low
Calhoun,Relatively Low
Carroll,Relatively Low
Cass,Very Low
Cedar,Very Low
Cerro Gordo,Relatively Low
Cherokee,Very Low
Chickasaw,Very Low
Clarke,Very Low
Clay,Relatively Low
Clayton,Relatively Low
Clinton,Relatively Low
Crawford,Relatively Low
Dallas,Relatively Low
Davis,Very Low
Decatur,Very Low
Delaware,Relatively Low
Des Moines,Relatively Low
Dickinson,Very Low
Dubuque,Relatively Low
Emmet,Very Low
Fayette,Relatively Low
Floyd,Very Low
Franklin,Very Low
Fremont,Very Low
Greene,Very Low
Grundy,Very Low
Guthrie,Relatively Low
Hamilton,Very Low
Hancock,Very Low
Hardin,Relatively Low
Harrison,Relatively Low
Henry,Very Low
Howard,Very Low
Humboldt,Very Low
Ida,Very Low
Iowa,Relatively Low
Jackson,Relatively Low
Jasper,Relatively Low
Jefferson,Very Low
Johnson,Relatively Moderate
Jones,Relatively Low
Keokuk,Very Low
Kossuth,Relatively Low
Lee,Relatively Low
Linn,Relatively Moderate
Louisa,Relatively Low
Lucas,Very Low
Lyon,Very Low
Madison,Very Low
Mahaska,Very Low
Marion,Very Low
Marshall,Relatively Low
Mills,Very Low
Mitchell,Very Low
Monona,Very Low
Monroe,Very Low
Montgomery,Very Low
Muscatine,Relatively Low
O'Brien,Relatively Low
Osceola,Relatively Low
Page,Very Low
Palo Alto,Very Low
Plymouth,Very Low
Pocahontas,Very Low
Polk,Relatively Moderate
Pottawattamie,Relatively Moderate
Poweshiek,Relatively Low
Ringgold,Very Low
Sac,Relatively Low
Scott,Relatively Low
Shelby,Very Low
Sioux,Relatively Low
Story,Relatively Low
Tama,Relatively Low
Taylor,Very Low
Union,Very Low
Van Buren,Very Low
Wapello,Relatively Low
Warren,Very Low
Washington,Relatively Low
Wayne,Very Low
Webster,Relatively Low
Winnebago,Very Low
Winneshiek,Very Low
Woodbury,Relatively Moderate
Worth,Very Low
Wright,Very Low
Allen,Very Low
Anderson,Very Low
Atchison,Very Low
Barber,Very Low
Barton,Relatively Low
Bourbon,Very Low
Brown,Very Low
Butler,Relatively Low
Chase,Very Low
Chautauqua,Very Low
Cherokee,Relatively Low
Cheyenne,Very Low
Clark,Very Low
Clay,Very Low
Cloud,Very Low
Coffey,Very Low
Comanche,Very Low
Cowley,Relatively Low
Crawford,Relatively Low
Decatur,Very Low
Dickinson,Very Low
Doniphan,Very Low
Douglas,Relatively Low
Edwards,Very Low
Elk,Very Low
Ellis,Very Low
Ellsworth,Very Low
Finney,Relatively Low
Ford,Relatively Low
Franklin,Relatively Low
Geary,Relatively Low
Gove,Very Low
Graham,Very Low
Grant,Very Low
Gray,Very Low
Greeley,Very Low
Greenwood,Very Low
Hamilton,Very Low
Harper,Very Low
Harvey,Relatively Low
Haskell,Very Low
Hodgeman,Very Low
Jackson,Very Low
Jefferson,Very Low
Jewell,Very Low
Johnson,Relatively Moderate
Kearny,Very Low
Kingman,Very Low
Kiowa,Very Low
Labette,Relatively Low
Lane,Very Low
Leavenworth,Relatively Low
Lincoln,Very Low
Linn,Very Low
Logan,Very Low
Lyon,Relatively Low
McPherson,Relatively Low
Marion,Relatively Low
Marshall,Very Low
Meade,Very Low
Miami,Relatively Low
Mitchell,Very Low
Montgomery,Relatively Low
Morris,Very Low
Morton,Very Low
Nemaha,Very Low
Neosho,Relatively Low
Ness,Very Low
Norton,Very Low
Osage,Very Low
Osborne,Very Low
Ottawa,Very Low
Pawnee,Very Low
Phillips,Very Low
Pottawatomie,Very Low
Pratt,Very Low
Rawlins,Very Low
Reno,Relatively Moderate
Republic,Very Low
Rice,Very Low
Riley,Relatively Low
Rooks,Very Low
Rush,Very Low
Russell,Very Low
Saline,Relatively Low
Scott,Very Low
Sedgwick,Relatively Moderate
Seward,Relatively Low
Shawnee,Relatively Low
Sheridan,Very Low
Sherman,Very Low
Smith,Very Low
Stafford,Very Low
Stanton,Very Low
Stevens,Very Low
Sumner,Relatively Low
Thomas,Very Low
Trego,Very Low
Wabaunsee,Very Low
Wallace,Very Low
Washington,Very Low
Wichita,Very Low
Wilson,Very Low
Woodson,Very Low
Wyandotte,Relatively Moderate
Adair,Very Low
Allen,Very Low
Anderson,Very Low
Ballard,Very Low
Barren,Relatively Low
Bath,Very Low
Bell,Relatively Low
Boone,Relatively Low
Bourbon,Very Low
Boyd,Very Low
Boyle,Very Low
Bracken,Very Low
Breathitt,Very Low
Breckinridge,Relatively Low
Bullitt,Relatively Low
Butler,Very Low
Caldwell,Relatively Low
Calloway,Relatively Low
Campbell,Relatively Low
Carlisle,Very Low
Carroll,Very Low
Carter,Relatively Low
Casey,Very Low
Christian,Relatively Moderate
Clark,Relatively Low
Clay,Very Low
Clinton,Very Low
Crittenden,Very Low
Cumberland,Very Low
Daviess,Relatively Moderate
Edmonson,Very Low
Elliott,Very Low
Estill,Very Low
Fayette,Relatively Moderate
Fleming,Very Low
Floyd,Relatively Low
Franklin,Relatively Low
Fulton,Relatively Low
Gallatin,Very Low
Garrard,Very Low
Grant,Very Low
Graves,Relatively Moderate
Grayson,Very Low
Green,Very Low
Greenup,Very Low
Hancock,Very Low
Hardin,Relatively Low
Harlan,Very Low
Harrison,Very Low
Hart,Very Low
Henderson,Relatively Low
Henry,Very Low
Hickman,Very Low
Hopkins,Relatively Low
Jackson,Very Low
Jefferson,Relatively High
Jessamine,Relatively Low
Johnson,Very Low
Kenton,Relatively Low
Knott,Very Low
Knox,Very Low
Larue,Very Low
Laurel,Relatively Low
Lawrence,Very Low
Lee,Very Low
Leslie,Very Low
Letcher,Very Low
Lewis,Very Low
Lincoln,Very Low
Livingston,Very Low
Logan,Relatively Low
Lyon,Very Low
McCracken,Relatively Moderate
McCreary,Very Low
McLean,Very Low
Madison,Relatively Low
Magoffin,Very Low
Marion,Very Low
Marshall,Relatively Low
Martin,Very Low
Mason,Very Low
Meade,Very Low
Menifee,Very Low
Mercer,Very Low
Metcalfe,Very Low
Monroe,Very Low
Montgomery,Very Low
Morgan,Very Low
Muhlenberg,Relatively Low
Nelson,Relatively Low
Nicholas,Very Low
Ohio,Relatively Low
Oldham,Relatively Low
Owen,Very Low
Owsley,Very Low
Pendleton,Relatively Low
Perry,Very Low
Pike,Relatively Low
Powell,Very Low
Pulaski,Relatively Low
Robertson,Very Low
Rockcastle,Very Low
Rowan,Very Low
Russell,Very Low
Scott,Relatively Low
Shelby,Relatively Low
Simpson,Very Low
Spencer,Very Low
Taylor,Very Low
Todd,Relatively Low
Trigg,Relatively Low
Trimble,Very Low
Union,Relatively Low
Warren,Relatively Moderate
Washington,Very Low
Wayne,Very Low
Webster,Relatively Low
Whitley,Relatively Low
Wolfe,Very Low
Woodford,Very Low
Acadia,Relatively Moderate
Allen,Relatively Low
Ascension,Relatively High
Assumption,Relatively Moderate
Avoyelles,Relatively Low
Beauregard,Relatively Low
Bienville,Very Low
Bossier,Relatively Moderate
Caddo,Relatively Moderate
Calcasieu,Relatively High
Caldwell,Very Low
Cameron,Relatively Low
Catahoula,Very Low
Claiborne,Very Low
Concordia,Relatively Low
De Soto,Relatively Low
East Baton Rouge,Relatively High
East Carroll,Very Low
East Feliciana,Relatively Low
Evangeline,Relatively Low
Franklin,Relatively Low
Grant,Very Low
Iberia,Relatively Moderate
Iberville,Relatively Low
Jackson,Very Low
Jefferson,Relatively High
Jefferson Davis,Relatively Moderate
Lafayette,Relatively High
Lafourche,Relatively Moderate
LaSalle,Very Low
Lincoln,Relatively Low
Livingston,Relatively High
Madison,Relatively Low
Morehouse,Relatively Low
Natchitoches,Relatively Low
Orleans,Relatively High
Ouachita,Relatively Moderate
Plaquemines,Relatively Low
Pointe Coupee,Relatively Low
Rapides,Relatively Moderate
Red River,Very Low
Richland,Relatively Low
Sabine,Relatively Low
St. Bernard,Relatively Moderate
St. Charles,Relatively Moderate
St. Helena,Relatively Low
St. James,Relatively Low
St. John the Baptist,Relatively Moderate
St. Landry,Relatively Moderate
St. Martin,Relatively Moderate
St. Mary,Relatively Moderate
St. Tammany,Relatively High
Tangipahoa,Relatively High
Tensas,Very Low
Terrebonne,Relatively High
Union,Very Low
Vermilion,Relatively Moderate
Vernon,Relatively Low
Washington,Relatively Moderate
Webster,Relatively Low
West Baton Rouge,Relatively Low
West Carroll,Very Low
West Feliciana,Very Low
Winn,Very Low
Androscoggin,Relatively Low
Aroostook,Relatively Low
Cumberland,Relatively Moderate
Franklin,Very Low
Hancock,Relatively Low
Kennebec,Relatively Low
Knox,Relatively Low
Lincoln,Relatively Low
Oxford,Relatively Low
Penobscot,Relatively Low
Piscataquis,Very Low
Sagadahoc,Very Low
Somerset,Relatively Low
Waldo,Relatively Low
Washington,Relatively Low
York,Relatively Moderate
Allegany,Very Low
Anne Arundel,Relatively Moderate
Baltimore,Relatively Moderate
Calvert,Relatively Low
Caroline,Relatively Low
Carroll,Relatively Low
Cecil,Relatively Low
Charles,Relatively Low
Dorchester,Relatively Low
Frederick,Relatively Low
Garrett,Very Low
Harford,Relatively Low
Howard,Relatively Low
Kent,Relatively Low
Montgomery,Relatively Moderate
Prince George's,Relatively Moderate
Queen Anne's,Relatively Low
St. Mary's,Relatively Low
Somerset,Relatively Low
Talbot,Relatively Low
Washington,Relatively Low
Wicomico,Relatively Moderate
Worcester,Relatively Moderate
Baltimore,Relatively Moderate
Barnstable,Relatively Moderate
Berkshire,Relatively Low
Bristol,Relatively Moderate
Dukes,Very Low
Essex,Relatively Moderate
Franklin,Relatively Low
Hampden,Relatively Moderate
